t,reward,oracle,regret,sales,health,roll_reward,roll_regret,roll_sales,roll_health
0,2.441391304347826,12.208,9.766608695652174,2.0,5.71,2.441391304347826,9.766608695652174,2.0,5.71
1,2.993777777777778,12.216000000000001,9.222222222222223,15.0,4.7,2.717584541062802,9.494415458937198,8.5,5.205
2,2.2239999999999998,12.208,9.984,86.0,5.28,2.5530563607085344,9.657610305958132,34.333333333333336,5.23
3,4.0530165745856355,12.216000000000001,8.162983425414366,134.0,4.56,2.9280464141778095,9.283953585822191,59.25,5.0625
4,4.022020066889632,12.208,8.185979933110367,69.0,4.89,3.1468411447201743,9.064358855279826,61.2,5.0280000000000005
5,2.5107845804988664,12.216000000000001,9.705215419501135,14.0,4.23,3.040831717349956,9.171168282650044,53.333333333333336,4.8950000000000005
6,9.724,12.208,2.484,16.0,5.25,3.9955700434428194,8.215858527985752,48.0,4.945714285714286
7,2.3379512195121954,12.224,9.886048780487805,1.0,4.46,3.7883676904514916,8.424632309548509,42.125,4.885
8,2.2239999999999998,12.208,9.984,93.0,5.25,3.614549058179103,8.597895386265341,47.77777777777778,4.9255555555555555
9,3.3330573012939,12.216000000000001,8.8829426987061,63.0,5.26,3.5863998824905834,8.626400117509416,49.3,4.9590000000000005
10,4.951272727272727,12.208,7.256727272727273,60.0,5.25,3.7104792320162328,8.501884404347404,50.27272727272727,4.985454545454545
11,2.216,12.216000000000001,10.0,1.0,5.22,3.58593929601488,8.626727370651787,46.166666666666664,5.005
12,5.820491228070175,12.208,6.387508771929825,51.0,5.25,3.7578279061729796,8.454479786134714,46.53846153846154,5.023846153846154
13,2.986331838565022,12.216000000000001,9.22966816143498,18.0,5.26,3.7027210442009824,8.509850384370447,44.5,5.0407142857142855
14,12.224,12.224,0.0,28.0,5.25,4.2708063079209175,7.942527025412416,43.4,5.054666666666666
15,2.9136744186046513,12.216000000000001,9.30232558139535,9.0,4.7,4.18598556483865,8.02751443516135,41.25,5.0325
16,3.4547692307692306,12.216000000000001,8.761230769230771,16.0,5.25,4.142972839305155,8.070674219518375,39.76470588235294,5.0452941176470585
17,5.958177215189873,12.216000000000001,6.257822784810128,60.0,5.26,4.243817526854306,7.969960250923472,40.888888888888886,5.057222222222222
18,5.516682926829268,12.208,6.691317073170732,28.0,5.25,4.310810442642462,7.9026632415680655,40.21052631578947,5.067368421052632
19,2.7674782608695647,12.216000000000001,9.448521739130436,16.0,5.26,4.233643833553818,7.9799561664461836,39.0,5.077
20,7.208,7.208,0.0,439.0,4.06,4.375279841479826,7.5999582537582695,58.04761904761905,5.0285714285714285
21,2.2239999999999998,12.216000000000001,9.992,1.0,5.33,4.277494394139834,7.708687424041984,55.45454545454545,5.042272727272727
22,12.208,12.208,0.0,129.0,4.06,4.622298985698971,7.37352710125755,58.65217391304348,4.9995652173913046
23,3.326661596958175,12.216000000000001,8.889338403041826,30.0,5.26,4.568314094501439,7.436685905498563,57.458333333333336,5.010416666666667
