sales_item,mapped_items,GramsPerServing,Calories,Protein,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Vitamin D (D2 + D3),Calcium,Iron,Potassium,Vitamin A,Vitamin C,HasNutrients,DietaryRestrictions,ReligiousRestrictions,method,n_candidates,sales_volume,HealthScore
COOKIE,"Vanilla Sugar Cookie, Chocolate Chip Cookie, Dough, Cookie, Ginger Twinkle",18.427175,70.0,1.0,12.0,1.0,6.0,5.0,2.0,1.0,0.0,7.0,61.0,1.0,13.0,0.0,49.0,,,1,,,median_over_topK,5,741935,189.19587126929255
CEREAL MEAL,"Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub), Cinnamon Chex Cereal, Blueberry Chex Cereal",56.0,230.0,3.0,46.0,2.0,12.0,12.0,5.0,1.0,0.0,0.0,320.0,2.0,100.0,15.0,0.0,500.0,6.0,1,,,median_over_topK,3,573659,122.119716794774
$1.25 CHIPS,"Tortilla Chips, RF Kettle Chips Jalapeno & Cheddar Chips, Doritos Wild White Nacho Flavored Tortilla Chips",39.12231,134.0,2.0,19.5,1.5,0.0,0.0,5.5,1.0,0.0,0.0,122.0,0.0,40.0,0.0,54.5,,,0,,,median_over_topK,5,485352,202.22734422693037
MINI PANCAKES,"Mini Maple Pancakes, Blueberry Mini Pancakes, Mini Maple Waffles",85.898985,210.0,4.0,35.0,4.0,11.0,10.5,7.0,1.0,0.0,5.0,210.0,0.0,59.0,4.0,135.0,1000.0,0.0,1,,,median_over_topK,5,471214,113.72455736699371
PBJ POWER PACK ELEMENTARY,"PB&J Power Pack, Turkey Pepperoni Power Pack, Turkey & Cheese & Cracker Power Pack",120.135875,360.0,15.0,43.0,5.5,11.0,7.0,16.0,5.0,0.0,35.0,973.0,0.0,290.0,2.0,305.0,,13.0,1,,,median_over_topK,5,469482,120.1306416019888
CHEESE PIZZA ELEMENTARY,"Cheese Pizza, Cheese Pizza, Cheese Pizza",141.7475,310.0,21.5,29.5,3.0,4.5,0.0,12.0,6.0,0.0,30.0,430.0,0.5,450.0,2.5,209.0,500.0,9.0,1,,,median_over_topK,5,293071,124.44485267344216
$1.00 WATER 16.9oz,"Bottled Water, Watermelon Flavored Dried Cranberries, Cheese Sticks, Baked (Warehouse - effective 9/1)",100.0,100.0,1.0,17.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,188.0,2.0,73.5,6.0,3.0,1,,,median_over_topK,5,283261,36.13876768940307
CHICKEN TENDERS SECONDARY,"Chicken Tenders Sub, Chicken Tenders, Chicken Alfredo Pasta",141.7475,239.0,23.0,18.0,4.0,3.0,0.0,10.0,1.0,0.0,60.0,377.0,3.5,51.0,1.0,297.0,55.0,0.0,1,,,median_over_topK,5,279564,61.0439039675614
ALC LUNCH ENTREE SECONDARY,"Black Beans - salad bar entree, Chickpeas - salad bar entree, Egg and Cheese Burrito - For Lunch",125.786375,168.0,6.0,27.0,3.5,2.0,0.0,4.5,0.5,0.0,9.5,140.0,0.0,61.0,1.5,104.0,,,1,,,median_over_topK,5,242260,228.90545503800774
ALCJUICE 4OZ $.75,"Apple Juice, Orange Tangerine Juice, Berry Juice",119.918385,60.0,0.0,15.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,14.5,0.0,200.0,0.0,36.0,1,,,median_over_topK,3,234354,44.93592115562514
SPICY CHICKEN ON BUN SECONDARY,"Spicy Breaded Chicken Patty on Bun, Wrap, Spicy Chicken on 6 Inch Tortillas, Spicy Chicken Wrap",171.0,365.0,22.0,44.0,4.5,2.0,1.0,11.0,1.0,0.0,50.0,615.0,7.0,79.5,3.5,130.0,28.0,0.0,1,,,median_over_topK,5,233421,57.365959402645714
YOGURT POWER PACK ELEMENTARY,"Peach Yogurt Power Pack, Cherry Vanilla Yogurt Power Pack, Strawberry & Banana Yogurt Power Pack",203.0,320.0,14.0,51.0,3.0,16.0,10.0,7.0,4.0,0.0,25.0,392.5,4.0,499.5,2.0,300.5,0.0,0.0,1,,,median_over_topK,5,228508,37.1921071149612
PBJ POWER PACK SECONDARY,"PB&J Power Pack, Turkey Pepperoni Power Pack, Turkey & Cheese & Cracker Power Pack",120.135875,360.0,15.0,43.0,5.5,11.0,7.0,16.0,5.0,0.0,35.0,973.0,0.0,290.0,2.0,305.0,,13.0,1,,,median_over_topK,5,225054,120.1306416019888
PEPPERONI PIZZA ELEMENTARY,"Pizza, Turkey Pepperoni, Slice, Turkey Pepperoni Pizza, Turkey Pepperoni Lasagna",149.68536,336.0,21.0,30.0,3.0,6.0,1.0,13.0,5.0,0.0,35.0,569.0,0.0,443.0,2.0,260.0,450.0,7.5,1,,,median_over_topK,5,205861,110.8610627353507
CHICKEN TENDERS ELEMENTARY,"Chicken Tenders Sub, Chicken Tenders, Chicken Alfredo Pasta",141.7475,239.0,23.0,18.0,4.0,3.0,0.0,10.0,1.0,0.0,60.0,377.0,3.5,51.0,1.0,297.0,55.0,0.0,1,,,median_over_topK,5,197570,61.0439039675614
BAGEL W/CREAM CHEESE,Bagel + Cream Cheese,82.3495,240.0,7.0,37.0,1.0,5.0,1.0,7.0,4.0,0.0,20.0,400.0,0.0,62.0,2.0,10.0,0.0,0.0,2,0.0,0.0,composite_sum,2,186523,-5.449226258321154
$1.25 POPCORN,"Sweet N' Salty Popcorn, Smartfood RF White Cheddar Popcorn, Cheese Sticks, Baked (Warehouse - effective 9/1)",28.3495,215.0,9.0,21.0,3.0,5.5,5.0,7.5,3.0,0.0,14.0,351.0,0.0,360.0,2.0,60.0,6.0,6.0,1,,,median_over_topK,5,153818,34.61243254962521
CHEESE STICKS W/MARINARA SECONDARY,"Cheese Sticks, Baked (Warehouse - effective 9/1) + Penne Pasta with Marinara and Beef Meatballs",598.8203431,697.0,41.0,51.0,7.0,13.0,3.0,30.0,14.0,1.0,93.0,1299.0,0.0,661.0,5.0,469.0,0.0,0.0,2,0.0,0.0,composite_sum,2,145540,63.675881572809345
$1PRETZEL,"Tangerine Whole, Dressing, Ranch, Bulk, Lite (NEW), Turkey, Pepperoni",113.398,70.0,3.0,10.0,0.0,3.0,0.5,7.0,1.0,0.0,13.0,250.0,0.0,0.0,0.0,188.0,386.0,15.0,1,,,median_over_topK,5,142082,53.20772946859902
CHEESE PIZZA SECONDARY,Cheese Pizza,141.7475,310.0,21.5,29.5,3.0,4.5,0.0,12.0,6.0,0.0,30.0,430.0,0.5,450.0,2.5,209.0,500.0,9.0,1,,,median_over_topK,5,127824,124.44485267344216
CHEESEBURGER ELEMENTARY,"Turkey Bacon Cheeseburger, Cheeseburger, Egg and American Cheese on English Muffin",148.486375,293.0,21.0,30.0,4.0,4.0,3.0,11.0,6.0,0.0,38.0,620.0,7.0,197.0,2.0,177.0,0.0,0.0,1,,,median_over_topK,5,112668,23.252882675152506
CHEESE STIX ELEMENTARY,"Egg and American Cheese on English Muffin, Cream Cheese, Calzone, Cheese",120.135875,255.0,12.0,29.0,3.0,4.0,2.0,8.0,4.0,0.0,20.0,591.0,1.0,190.0,1.0,177.0,0.0,0.0,1,,,median_over_topK,5,111739,8.222938807680038
PUMPKIN BREAD W/ STRING CHEESE,"Turkey & Cheese on loco bread, String Cheese, Batter, Pumpkin Bread",63.0,194.0,6.0,31.0,2.0,3.0,8.5,7.0,3.0,0.0,20.0,200.0,0.0,198.0,1.0,89.0,,,1,,,median_over_topK,5,108913,200.29092578929476
ALC LUNCH ENTREE ELEMENTARY,"Black Beans - salad bar entree, Chickpeas - salad bar entree, Egg and Cheese Burrito - For Lunch",125.786375,168.0,6.0,27.0,3.5,2.0,0.0,4.5,0.5,0.0,9.5,140.0,0.0,61.0,1.5,104.0,,,1,,,median_over_topK,5,105456,228.90545503800774
NACHOS W/ CHEESE ELEMENTARY,"Nachos with Black Beans and Cheese Sauce, Quesadilla, Cheese w/ 6 Inch Tortillas, Nachos with Cheese Sauce",163.86011,439.0,16.0,48.0,3.0,5.0,0.0,20.0,8.0,0.0,10.0,679.0,,259.0,1.0,792.0,,,1,,,median_over_topK,5,95578,215.48530271574234
