RecipeID,RecipeName,ServingSize,GramsPerServing,Calories,Protein,Total Fat,Saturated Fat,Trans Fat,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Sodium,Cholesterol,sales_item,match_score,needs_review
30008,Apple Juice,Each,119.9,60.0,0.0,0.0,0.0,0.0,14.0,0.0,13.0,0.0,5.0,0.0,$0.50 Juice,6.0,False
30054,Berry Juice,1 cup,226.8,120.0,0.0,0.0,0.0,0.0,29.0,0.0,27.0,0.0,20.0,0.0,$0.50 Juice,6.0,False
30069,"Canned Pears, Diced",1/2 cup,124.0,60.0,0.0,0.0,0.0,0.0,16.0,2.0,11.0,0.0,5.0,0.0,$0.50 Juice,0.0,False
20040,Cucumber Slices,6 Slices per 1/2 cup,113.4,17.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,2.0,0.0,$0.50 Juice,0.0,False
60045,Cucumber Slices,1/2 cup,74.8,11.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,$0.50 Juice,0.0,False
30097,Bottled Water,Bottle,479.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,$1.00 WATER 16.9oz,6.0,False
30118,Kettle Cooked Smoky BBQ Chips,Each,39.1,,,,,,,,,,,,$1.25 CHIPS,6.0,False
30160,Lay's RF Kettle Original Chips,Each,39.1,,,,,,,,,,,,$1.25 CHIPS,6.0,False
30119,RF Kettle Chips Jalapeno & Cheddar Chips,Each,39.1,,,,,,,,,,,,$1.25 CHIPS,6.0,False
30120,RF Kettle Chips Sea Salt & Vinegar Chips,Each,39.1,,,,,,,,,,,,$1.25 CHIPS,6.0,False
30109,Smartfood RF White Cheddar Popcorn,Each,28.3,,,,,,,,,,,,$1.25 POPCORN,6.0,False
30071,Sweet N' Salty Popcorn,Bag,28.3,130.0,2.0,5.0,1.0,0.0,20.0,3.0,5.0,5.0,140.0,0.0,$1.25 POPCORN,6.0,False
30073,IW Heartzels Pretzels,Package,19.8,80.0,2.0,1.0,0.0,0.0,16.0,2.0,1.0,0.0,200.0,0.0,$1PRETZEL,0.0,False
30180,"Onions, Red, pre-sliced - temp",1/4 cup,79.4,32.0,1.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,3.0,0.0,$1PRETZEL,0.0,False
10044,Soft Pretzel,1 pretzel,62.0,150.0,5.0,1.0,0.0,0.0,30.0,3.0,1.0,0.0,140.0,0.0,$1PRETZEL,0.0,False
20052,Assorted  4 oz Yogurt,Container,0.0,,,,,,,,,,,,ALC $1 YOGURT OZ,10.0,False
30093,Natural Breakfast Syrup,Each,28.3,80.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,21.0,15.0,0.0,ALC BREAKFAST ENTREE,6.0,False
20053,"Egg, Hard Boiled, Bulk pouch",Each,50.0,78.0,6.0,5.0,2.0,,1.0,0.0,1.0,0.0,62.0,187.0,ALC HARD BOILED EGG,14.0,False
20020,Hard Boiled Eggs,Each,50.0,78.0,6.0,5.0,2.0,,1.0,0.0,1.0,0.0,62.0,187.0,ALC HARD BOILED EGG,10.0,False
30102,1% Unflavored Shelf-Stable Milk,Each,226.8,110.0,8.0,3.0,2.0,0.0,12.0,0.0,12.0,0.0,105.0,10.0,ALC MILK,6.0,False
20001,1% White Milk,Each,246.0,110.0,8.0,3.0,2.0,0.0,13.0,0.0,12.0,0.0,125.0,10.0,ALC MILK,6.0,False
30095,Honey Cran Trail Mix,Package,61.2,270.0,5.0,13.0,2.0,0.0,36.0,5.0,27.0,25.0,55.0,0.0,ALC MILK,0.0,False
30188,"Milk, Soy, Plain, Bulk (12/32 oz)",1 cup,240.0,140.0,10.0,6.0,1.0,0.0,13.0,1.0,9.0,5.0,130.0,0.0,ALC MILK,6.0,False
30184,"Milk, Soy, Unflavored (24/8 oz)",each,205.5,141.0,8.0,5.0,0.0,0.0,17.0,2.0,15.0,14.0,111.0,0.0,ALC MILK,6.0,False
30012,Oat Milk,Each,226.8,130.0,8.0,1.0,0.0,0.0,22.0,0.0,18.0,18.0,150.0,0.0,ALC MILK,6.0,False
30011,"Salsa, Mild Canned",1.5 oz,43.5,15.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,105.0,0.0,ALC MILK,0.0,False
30013,Sweet Heat Trail Mix,Package,64.4,294.0,5.0,15.0,2.0,0.0,39.0,4.0,26.0,11.0,210.0,0.0,ALC MILK,0.0,False
POS91,Broccoli Alfredo Penne - ALC,serving,0.0,,,,,,,,,,,,ALC VEGETABLE/FRUIT,6.0,False
20027,Broccoli Florets,6 Pieces per 1/2 cup,31.2,9.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,ALC VEGETABLE/FRUIT,0.0,False
20067,"CLPP, Broccoli Crowns",1/2 cup,8.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,ALC VEGETABLE/FRUIT,0.0,False
20056,"CLPP, Lettuce, Green Leaf",1 cup,75.0,,,,,,,,,,,,ALC VEGETABLE/FRUIT,0.0,False
10062,Corn,1/2 cup (cooked),82.5,71.0,3.0,0.0,0.0,0.0,17.0,2.0,2.0,,0.0,0.0,ALC VEGETABLE/FRUIT,0.0,False
10126,"Corn, Flame-Roasted, Frozen, Bulk",2 TBSP,20.4,25.0,1.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,ALC VEGETABLE/FRUIT,0.0,False
10107,Fish Filet Potato Encrusted,each,102.1,202.0,14.0,10.0,2.0,0.0,14.0,1.0,0.0,0.0,293.0,45.0,ALC VEGETABLE/FRUIT,0.0,False
60077,Manager's Vegetable Choice,1/4 cup,0.0,,,,,,,,,,,,ALC VEGETABLE/FRUIT,6.0,False
10039,Potato Encrusted Breaded Pollock,Fillet,102.1,210.0,14.0,11.0,2.0,0.0,13.0,1.0,0.0,0.0,330.0,45.0,ALC VEGETABLE/FRUIT,0.0,False
10088,Potato Wedges,4 pieces,41.1,63.0,1.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,48.0,0.0,ALC VEGETABLE/FRUIT,0.0,False
60054,Steamed Broccoli,1/2 cup,31.2,9.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,ALC VEGETABLE/FRUIT,0.0,False
60022,Tex Mex Corn,1/2 cup,167.6,115.0,4.0,1.0,0.0,0.0,27.0,3.0,4.0,,2.0,0.0,ALC VEGETABLE/FRUIT,0.0,False
60144,Tomato Basil Lasagna,Each,192.7,313.0,19.0,10.0,5.0,0.0,34.0,3.0,8.0,,542.0,28.0,ALC VEGETABLE/FRUIT,0.0,False
60123,Tomato Soup,6 oz Ladle,191.4,132.0,7.0,7.0,3.0,0.0,12.0,2.0,7.0,1.0,307.0,16.0,ALC VEGETABLE/FRUIT,0.0,False
20072,"Tomato, Large, whole, Plum",1/4 cup sliced,45.4,8.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,ALC VEGETABLE/FRUIT,0.0,False
60064,Vegetable Dumpling,6 dumplings,136.1,242.0,16.0,5.0,1.0,0.0,33.0,4.0,2.0,1.0,363.0,0.0,ALC VEGETABLE/FRUIT,6.0,False
60128,Alfredo & Basil Lasagna,Each,199.5,397.0,26.0,16.0,9.0,0.0,34.0,2.0,9.0,,719.0,49.0,ALFREDO LASAGNA-ES,10.0,False
60122,Asian Meatball Sub,sandwich,329.0,520.0,19.0,18.0,5.0,1.0,68.0,6.0,31.0,24.0,1759.0,61.0,ASIAN BEEF MEATBALL SUB-ES,14.0,False
60042,Beef Meatball Sub Sandwich,Sandwich,218.8,412.0,26.0,19.0,8.0,1.0,35.0,6.0,8.0,4.0,802.0,63.0,ASIAN BEEF MEATBALL SUB-ES,14.0,False
60120,Asian Veggie Sub,sandwich,347.1,539.0,19.0,16.0,2.0,0.0,84.0,8.0,32.0,24.0,1757.0,13.0,ASIAN VEGGIE SUB-ES,14.0,False
10020,Bagel,Bagel,54.0,170.0,6.0,1.0,0.0,0.0,35.0,1.0,3.0,0.0,300.0,0.0,BAGEL W/CREAM CHEESE,6.0,False
20009,Cream Cheese,Each,28.3,70.0,1.0,6.0,4.0,0.0,2.0,0.0,2.0,1.0,100.0,20.0,BAGEL W/CREAM CHEESE,10.0,False
