Calories-  Dietary Guidelines for Americans,Protein - page 133
14-18 page 85 2000-3200 calories,52g
9-13 page 81 1600-2600 calories,34g
5-8 page 73 1200-2000 calories,19g
2-4 page 73 1000-1600 calories,13g
,
added sugars-  Dietary Guidelines for Americans and FDA,carbohydrates - page 133
14-18 page 85 10% of calories(1g 4Kcal),130g
9-13 page 82 10% of calories,130g
5-8 page 79 10% of calories,130g
2-4 page 77 10% of calories,130g
,
,
Saturated fat -  Dietary Guidelines for Americans and FDA,total fat page- 133
14-18 page 85 10% of calories(1g 9Kcal),25-35%kcal(1g 9Kcal)
9-13 page 82 10% of calories,25-35%kcal
5-8 page 79 10% of calories,25-35%kcal
2-4 page 77 10% of calories,30-40%kcal
,
,
,
sodium - FDA - Dietary Guidelines for Americans and FDA,Vitamin A Page 134 
14-18 page 85 2300mg ,900mcg
9-13 page 82 1800mg ,600mcg
5-8 page 79 1500mg,400mcg
2-4 page 77  1200mg,300mcg
,
"Dietary Fiber - FDA , page -2 (14g/1 kcal)",Vitamin C page 134
14-18 -  28 - 44.8g,75mg
9-13 - 22 - 36.4 g,45mg
5-8  - 16.8-28g,25mg
2-4 - 14-22g,15mg
,
"Vitamin D - FDA , page -3",
14-18 - 20 micrograms,
9-13 - 20 micrograms,
5-8 - 20 micrograms,
2-4 - 15 micrograms,
,
,
"Calcium  - FDA , page -3",
14-18  - 1300mg,
9-13  - 1300mg,
5-8  - 1300mg,
2-4 - 700mg,
,
Iron - FDA page-4,cholestrol page 5
14-18 - 18 mg ,200mg
9-13 - 18 mg ,200mg
5-8 - 18 mg,200mg
2-4 - 7 mg,200mg
,
Potassium - FDA - 4,
14-18 - 4700mg ,
9-13 - 4700mg ,
5-8 - 4700mg,
2-4 - 3000mg,

