group,metric,count,min,median,max
CEREAL,Calories,92129.0,3.0,210.0,240.0
CEREAL,Protein,92014.0,1.0,3.0,6.0
CEREAL,Total Fat,92129.0,0.0,5.0,5.0
CEREAL,Total Sugars,92129.0,0.0,12.0,12.0
CEREAL,Total Carbohydrate,92014.0,20.0,44.0,46.0
BAGEL,Calories,10825.0,130.0,170.0,261.0
BAGEL,Protein,10825.0,4.0,6.0,14.0
BAGEL,Total Fat,10825.0,1.0,1.0,10.0
BAGEL,Total Sugars,10825.0,2.0,3.0,4.0
BAGEL,Total Carbohydrate,10825.0,25.0,35.0,35.0
MILK,Calories,149795.0,90.0,110.0,141.0
MILK,Protein,149795.0,8.0,9.0,10.0
MILK,Total Fat,149795.0,0.0,0.0,6.0
MILK,Total Sugars,149795.0,9.0,12.0,20.0
MILK,Total Carbohydrate,149795.0,12.0,13.0,22.0
JUICE,Calories,78582.0,60.0,60.0,120.0
JUICE,Protein,78582.0,0.0,0.0,0.0
JUICE,Total Fat,78582.0,0.0,0.0,0.0
JUICE,Total Sugars,78582.0,13.0,13.0,27.0
JUICE,Total Carbohydrate,78582.0,14.0,14.0,29.0
PARFAIT,Calories,26842.0,182.0,250.0,503.0
PARFAIT,Protein,26842.0,5.0,6.0,15.0
PARFAIT,Total Fat,26842.0,2.0,2.0,16.0
PARFAIT,Total Sugars,26842.0,19.0,36.0,45.0
PARFAIT,Total Carbohydrate,26842.0,38.0,55.0,81.0
