sales_item,mapped_items,GramsPerServing,Calories,Protein,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Vitamin D (D2 + D3),Calcium,Iron,Potassium,Vitamin A,Vitamin C,method,n_candidates,sales_volume
COOKIE,"Chocolate Chip Cookie, Chocolate Chip Cookie, Chocolate Chip Cookie",36.85435,148.0,2.0,24.0,2.0,11.0,9.0,5.0,2.0,0.0,19.0,96.0,1.0,10.0,1.0,54.0,,,median_over_topK,5,741935
CEREAL MEAL,"Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub), Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub), Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub)",56.699,3.0,,,,0.0,,0.0,0.0,0.0,,4.0,,,,,,,median_over_topK,3,573659
$1.25 CHIPS,"Doritos Wild White Nacho Flavored Tortilla Chips, RF Kettle Chips Sea Salt & Vinegar Chips, Doritos Wild White Nacho Flavored Tortilla Chips",39.12231,130.0,2.0,20.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,170.0,0.0,40.0,0.0,50.0,,,median_over_topK,5,485352
MINI PANCAKES,"Mini Maple Pancakes, Mini Maple Pancakes, Mini Maple Pancakes",85.898985,200.0,4.0,36.0,4.0,12.0,11.0,6.0,1.0,0.0,5.0,210.0,0.0,40.0,4.0,,1000.0,,median_over_topK,5,471214
PBJ POWER PACK ELEMENTARY,"PB&J Power Pack, PB&J Power Pack, PB&J Power Pack",122.970825,480.0,17.0,48.0,5.0,15.0,12.0,27.0,8.0,0.0,25.0,630.0,,244.0,2.0,105.0,,,median_over_topK,5,469482
CHEESE PIZZA ELEMENTARY,"Cheese Pizza, Cheese Pizza, Cheese Pizza",145.432935,335.0,21.0,29.0,3.0,3.0,1.0,15.0,8.0,0.0,34.0,500.0,0.0,462.0,2.0,241.0,0.0,0.0,median_over_topK,5,293071
$1.00 WATER 16.9oz,"Bottled Water, Bottled Water, Bottled Water",479.10655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,median_over_topK,5,283261
CHICKEN TENDERS SECONDARY,"Chicken Tenders, Chicken Tenders, Chicken Tenders",131.825175,226.0,17.0,18.0,4.0,0.0,0.0,10.0,1.0,0.0,60.0,389.0,,10.0,1.0,,55.0,0.0,median_over_topK,5,279564
ALC LUNCH ENTREE SECONDARY,"Chickpeas - salad bar entree, Black Beans - salad bar entree, Black Beans - salad bar entree",130.0,130.0,8.0,23.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,140.0,0.0,48.0,2.0,0.0,,,median_over_topK,5,242260
ALCJUICE 4OZ $.75,"Apple Juice, Orange Tangerine Juice, Apple Juice",119.918385,60.0,0.0,14.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,130.0,0.0,0.0,median_over_topK,5,234354
SPICY CHICKEN ON BUN SECONDARY,"Spicy Breaded Chicken Patty on Bun, Spicy Breaded Chicken Patty on Bun, Spicy Breaded Chicken Patty on Bun",171.0,365.0,22.0,44.0,5.0,3.0,3.0,11.0,1.0,0.0,40.0,615.0,7.0,110.0,3.0,130.0,10.0,0.0,median_over_topK,5,233421
YOGURT POWER PACK ELEMENTARY,"Peach Yogurt Power Pack, Peach Yogurt Power Pack, Peach Yogurt Power Pack",203.398,320.0,14.0,51.0,3.0,16.0,10.0,7.0,4.0,0.0,25.0,395.0,4.0,500.0,2.0,295.0,,,median_over_topK,5,228508
PBJ POWER PACK SECONDARY,"PB&J Power Pack, PB&J Power Pack, PB&J Power Pack",122.970825,480.0,17.0,48.0,5.0,15.0,12.0,27.0,8.0,0.0,25.0,630.0,,244.0,2.0,105.0,,,median_over_topK,5,225054
PEPPERONI PIZZA ELEMENTARY,"Turkey Pepperoni Pizza, Turkey Pepperoni Pizza, Turkey Pepperoni Pizza",149.68536,323.0,23.0,30.0,3.0,6.0,1.0,13.0,6.0,0.0,35.0,429.0,0.0,450.0,3.0,19.0,500.0,9.0,median_over_topK,5,205861
CHICKEN TENDERS ELEMENTARY,"Chicken Tenders, Chicken Tenders, Chicken Tenders",131.825175,226.0,17.0,18.0,4.0,0.0,0.0,10.0,1.0,0.0,60.0,389.0,,10.0,1.0,,55.0,0.0,median_over_topK,5,197570
BAGEL W/CREAM CHEESE,Bagel + Cream Cheese,82.3495,240.0,7.0,37.0,1.0,5.0,1.0,7.0,4.0,0.0,20.0,400.0,0.0,62.0,2.0,10.0,0.0,0.0,composite_sum,2,186523
$1.25 POPCORN,"Smartfood RF White Cheddar Popcorn, Smartfood RF White Cheddar Popcorn, Smartfood RF White Cheddar Popcorn",28.3495,,,,,,,,,,,,,,,,,,median_over_topK,5,153818
CHEESE STICKS W/MARINARA SECONDARY,Baked Cheese Sticks + Marinara Sauce,171.7689,330.0,17.0,22.0,3.0,7.0,2.0,13.0,6.0,0.0,30.0,707.0,0.0,387.0,2.0,177.0,0.0,0.0,composite_sum,2,145540
$1PRETZEL,"Maple Belgian Waffle, Cucumber Slices, Sub Roll",62.0,150.0,5.0,29.0,3.0,2.0,0.5,2.0,0.0,0.0,0.0,220.0,0.0,30.0,1.0,100.0,119.0,3.0,median_over_topK,5,142082
CHEESE PIZZA SECONDARY,"Cheese Pizza, Cheese Pizza, Cheese Pizza",145.432935,335.0,21.0,29.0,3.0,3.0,1.0,15.0,8.0,0.0,34.0,500.0,0.0,462.0,2.0,241.0,0.0,0.0,median_over_topK,5,127824
CHEESEBURGER ELEMENTARY,"Cheeseburger, Cheeseburger, Cheeseburger",134.786375,335.0,21.0,30.0,4.0,4.0,3.0,15.0,6.0,0.0,52.0,620.0,7.0,197.0,2.0,170.0,0.0,0.0,median_over_topK,5,112668
CHEESE STIX ELEMENTARY,"Egg and American Cheese on English Muffin, Grilled Cheese Sandwich, Quesadilla, Chicken & Cheese (Shred Chicken) 6 in Tortilla",118.0,300.0,18.0,35.0,4.0,3.0,0.0,11.0,5.0,0.0,30.0,591.0,1.0,250.0,2.0,300.0,0.0,0.0,median_over_topK,5,111739
PUMPKIN BREAD W/ STRING CHEESE,"Turkey & Cheese on loco bread, Turkey & Cheese on loco bread, Turkey & Cheese on loco bread",126.52425,260.0,18.0,30.0,3.0,3.0,,8.0,3.0,0.0,35.0,788.0,,240.0,2.0,222.0,,,median_over_topK,5,108913
ALC LUNCH ENTREE ELEMENTARY,"Chickpeas - salad bar entree, Black Beans - salad bar entree, Black Beans - salad bar entree",130.0,130.0,8.0,23.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,140.0,0.0,48.0,2.0,0.0,,,median_over_topK,5,105456
NACHOS W/ CHEESE ELEMENTARY,"Nachos with Taco Meat and Cheese Sauce, Nachos with Cheese Sauce, Nachos with Turkey Barbacoa and Cheese Sauce",163.86011,468.0,16.0,48.0,2.0,8.0,0.0,24.0,8.0,0.0,10.0,912.0,,372.0,1.0,792.0,,,median_over_topK,5,95578
BLUEBERRY BREAD W/ STRING CHEESE,"Turkey & Cheese on loco bread, Turkey & Cheese on loco bread, Turkey & Cheese on loco bread",126.52425,260.0,18.0,30.0,3.0,3.0,,8.0,3.0,0.0,35.0,788.0,,240.0,2.0,222.0,,,median_over_topK,5,93969
ORANGE CHICKEN ELEMENTARY,"Orange Chicken, Orange Chicken, Orange Chicken",128.13974,231.0,18.0,27.0,1.0,11.0,10.0,6.0,1.0,0.0,45.0,634.0,0.0,13.0,2.0,259.0,0.0,0.0,median_over_topK,5,90287
BREADED CHICKENLESS BITES ELEMENTARY,"Chicken, Bites, Breaded, Chicken, Bites, Breaded, Chicken, Bites, Breaded",99.79024,181.0,17.0,15.0,1.0,0.0,0.0,6.0,1.0,0.0,45.0,534.0,0.0,13.0,2.0,259.0,0.0,0.0,median_over_topK,5,89010
MANAGERS CHOICE,"Manager's Vegetable Choice, Manager's Vegetable Choice, Manager's Vegetable Choice",0.0,,,,,,,,,,,,,,,,,,median_over_topK,5,86640
PEPPERONI PIZZA SECONDARY,"Turkey Pepperoni Pizza, Turkey Pepperoni Pizza, Turkey Pepperoni Pizza",149.68536,323.0,23.0,30.0,3.0,6.0,1.0,13.0,6.0,0.0,35.0,429.0,0.0,450.0,3.0,19.0,500.0,9.0,median_over_topK,5,83170
CHEESEBURGER SECONDARY,"Cheeseburger, Cheeseburger, Cheeseburger",134.786375,335.0,21.0,30.0,4.0,4.0,3.0,15.0,6.0,0.0,52.0,620.0,7.0,197.0,2.0,170.0,0.0,0.0,median_over_topK,5,81734
MANAGER'S CHOICE,"Manager's Vegetable Choice, Manager's Vegetable Choice, Manager's Vegetable Choice",0.0,,,,,,,,,,,,,,,,,,median_over_topK,5,78180
EGG & CHEESE ON BISCUIT,Egg and Cheese Bagel + Egg and American Cheese on Biscuit,226.57274999999998,532.0,21.0,59.0,5.0,7.0,4.0,22.0,9.0,0.0,18.0,1132.0,2.0,399.0,3.0,609.0,0.0,0.0,composite_sum,2,73158
BLUEBERRY MUFFIN W/ STRING CHEESE,"Egg and American Cheese on English Muffin, Egg and American Cheese on English Muffin, Egg and American Cheese on English Muffin",111.805775,216.0,12.0,24.0,1.0,2.0,,8.0,2.0,0.0,9.0,591.0,1.0,188.0,1.0,177.0,,,median_over_topK,5,72207
ALC MILK,"1% White Milk, 1% Unflavored Shelf-Stable Milk, Fat Free Chocolate Milk",246.0,110.0,8.0,13.0,0.0,12.0,0.0,3.0,2.0,0.0,10.0,125.0,3.0,300.0,0.0,410.0,150.0,0.0,median_over_topK,5,72153
SPICY CHICKEN WRAP SECONDARY,"Spicy Chicken Wrap, Spicy Chicken Wrap, Spicy Chicken Wrap",197.262125,446.0,25.0,47.0,4.0,2.0,1.0,17.0,3.0,0.0,50.0,716.0,,121.0,4.0,100.0,46.0,,median_over_topK,5,71526
TURKEY SAUSAGE ON BISCUIT,"Turkey Sausage Breakfast Biscuit, Turkey Sausage Breakfast Biscuit, Turkey Sausage Breakfast Biscuit",110.972795,297.0,12.0,28.0,2.0,3.0,2.0,16.0,7.0,0.0,37.0,488.0,,120.0,2.0,360.0,7.0,,median_over_topK,5,64484
CHEEZ-IT,"Cheez-Its Crackers, Cheez-Its Crackers, Cheez-Its Crackers",21.262124999999997,100.0,2.0,14.0,1.0,0.0,0.0,4.0,1.0,0.0,5.0,150.0,0.0,20.0,1.0,50.0,,,median_over_topK,5,63369
