sales_item,mapped_items,Calories,Protein,Total Sugars
COOKIE,"Chocolate Chip Cookie, Chocolate Chip Cookie, Chocolate Chip Cookie",148.0,2.0,11.0
CEREAL MEAL,"Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub), Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub), Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub)",3.0,,0.0
$1.25 CHIPS,"Doritos Wild White Nacho Flavored Tortilla Chips, RF Kettle Chips Sea Salt & Vinegar Chips, Doritos Wild White Nacho Flavored Tortilla Chips",130.0,2.0,0.0
MINI PANCAKES,"Mini Maple Pancakes, Mini Maple Pancakes, Mini Maple Pancakes",200.0,4.0,12.0
PBJ POWER PACK ELEMENTARY,"PB&J Power Pack, PB&J Power Pack, PB&J Power Pack",480.0,17.0,15.0
CHEESE PIZZA ELEMENTARY,"Cheese Pizza, Cheese Pizza, Cheese Pizza",335.0,21.0,3.0
$1.00 WATER 16.9oz,"Bottled Water, Bottled Water, Bottled Water",0.0,0.0,0.0
CHICKEN TENDERS SECONDARY,"Chicken Tenders, Chicken Tenders, Chicken Tenders",226.0,17.0,0.0
ALC LUNCH ENTREE SECONDARY,"Chickpeas - salad bar entree, Black Beans - salad bar entree, Black Beans - salad bar entree",130.0,8.0,1.0
ALCJUICE 4OZ $.75,"Apple Juice, Orange Tangerine Juice, Apple Juice",60.0,0.0,13.0
SPICY CHICKEN ON BUN SECONDARY,"Spicy Breaded Chicken Patty on Bun, Spicy Breaded Chicken Patty on Bun, Spicy Breaded Chicken Patty on Bun",365.0,22.0,3.0
YOGURT POWER PACK ELEMENTARY,"Peach Yogurt Power Pack, Peach Yogurt Power Pack, Peach Yogurt Power Pack",320.0,14.0,16.0
PBJ POWER PACK SECONDARY,"PB&J Power Pack, PB&J Power Pack, PB&J Power Pack",480.0,17.0,15.0
PEPPERONI PIZZA ELEMENTARY,"Turkey Pepperoni Pizza, Turkey Pepperoni Pizza, Turkey Pepperoni Pizza",323.0,23.0,6.0
CHICKEN TENDERS ELEMENTARY,"Chicken Tenders, Chicken Tenders, Chicken Tenders",226.0,17.0,0.0
BAGEL W/CREAM CHEESE,Bagel + Cream Cheese,240.0,7.0,5.0
$1.25 POPCORN,"Smartfood RF White Cheddar Popcorn, Smartfood RF White Cheddar Popcorn, Smartfood RF White Cheddar Popcorn",,,
CHEESE STICKS W/MARINARA SECONDARY,Baked Cheese Sticks + Marinara Sauce,330.0,17.0,7.0
$1PRETZEL,"Maple Belgian Waffle, Cucumber Slices, Sub Roll",150.0,5.0,2.0
CHEESE PIZZA SECONDARY,"Cheese Pizza, Cheese Pizza, Cheese Pizza",335.0,21.0,3.0
CHEESEBURGER ELEMENTARY,"Cheeseburger, Cheeseburger, Cheeseburger",335.0,21.0,4.0
CHEESE STIX ELEMENTARY,"Egg and American Cheese on English Muffin, Grilled Cheese Sandwich, Quesadilla, Chicken & Cheese (Shred Chicken) 6 in Tortilla",300.0,18.0,3.0
PUMPKIN BREAD W/ STRING CHEESE,"Turkey & Cheese on loco bread, Turkey & Cheese on loco bread, Turkey & Cheese on loco bread",260.0,18.0,3.0
ALC LUNCH ENTREE ELEMENTARY,"Chickpeas - salad bar entree, Black Beans - salad bar entree, Black Beans - salad bar entree",130.0,8.0,1.0
NACHOS W/ CHEESE ELEMENTARY,"Nachos with Taco Meat and Cheese Sauce, Nachos with Cheese Sauce, Nachos with Turkey Barbacoa and Cheese Sauce",468.0,16.0,8.0
BLUEBERRY BREAD W/ STRING CHEESE,"Turkey & Cheese on loco bread, Turkey & Cheese on loco bread, Turkey & Cheese on loco bread",260.0,18.0,3.0
ORANGE CHICKEN ELEMENTARY,"Orange Chicken, Orange Chicken, Orange Chicken",231.0,18.0,11.0
BREADED CHICKENLESS BITES ELEMENTARY,"Chicken, Bites, Breaded, Chicken, Bites, Breaded, Chicken, Bites, Breaded",181.0,17.0,0.0
MANAGERS CHOICE,"Manager's Vegetable Choice, Manager's Vegetable Choice, Manager's Vegetable Choice",,,
PEPPERONI PIZZA SECONDARY,"Turkey Pepperoni Pizza, Turkey Pepperoni Pizza, Turkey Pepperoni Pizza",323.0,23.0,6.0
CHEESEBURGER SECONDARY,"Cheeseburger, Cheeseburger, Cheeseburger",335.0,21.0,4.0
MANAGER'S CHOICE,"Manager's Vegetable Choice, Manager's Vegetable Choice, Manager's Vegetable Choice",,,
EGG & CHEESE ON BISCUIT,Egg and Cheese Bagel + Egg and American Cheese on Biscuit,532.0,21.0,7.0
BLUEBERRY MUFFIN W/ STRING CHEESE,"Egg and American Cheese on English Muffin, Egg and American Cheese on English Muffin, Egg and American Cheese on English Muffin",216.0,12.0,2.0
ALC MILK,"1% White Milk, 1% Unflavored Shelf-Stable Milk, Fat Free Chocolate Milk",110.0,8.0,12.0
